
 11-08 14:27:21 sell 1760
 11-08 14:27:32 sell 1760
 11-08 14:27:42 sell 1760
 11-08 14:27:53 sell 1760
 11-08 14:28:04 sell 1760
 11-08 14:28:14 sell 1760
 11-08 14:39:43 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:39:53 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:40:04 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:40:14 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:40:25 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:40:36 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:40:46 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:40:57 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:41:08 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:41:18 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:41:29 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:41:40 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:41:50 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:42:01 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:42:12 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:42:22 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:42:33 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:42:43 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:42:54 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:43:05 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:43:15 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:43:26 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:43:37 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:43:47 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:43:58 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:44:08 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:44:19 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:44:30 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:44:40 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:44:51 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:45:02 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:45:12 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:45:23 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:45:34 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
